School,City,State,Type,Conference,Division
Morehead State University,Morehead,Kentucky,Public,Ohio Valley Conference,NCAA D1
Mount St. Mary's University,Emmitsburg,Maryland,Private,Metro Atlantic Athletic Conference,NCAA D1
Murray State University,Murray,Kentucky,Public,Missouri Valley Conference,NCAA D1
New Jersey Institute of Technology,Newark,New Jersey,Public,American East Conference,NCAA D1
New Mexico State University,Las Cruces,New Mexico,Public,Conference USA,NCAA D1
Niagara University,Niagara University,New York,Private,Metro Atlantic Athletic Conference,NCAA D1
Nicholls State University,Thibodaux,Louisiana,Public,Southland Conference,NCAA D1
Norfolk State University,Norfolk,Virginia,Public,Mid-Eastern Athletic Conference,NCAA D1
North Carolina A&T State University,Greensboro,North Carolina,Public,Colonial Athletic Association,NCAA D1
North Carolina State University,Raleigh,North Carolina,Public,Atlantic Coast Conference,NCAA D1
North Dakota State University,Fargo,North Dakota,Public,The Summit League,NCAA D1
Northeastern University,Boston,Massachusetts,Private,Colonial Athletic Association,NCAA D1
Northern Illinois University,Dekalb,Illinois,Public,Mid-American Conference,NCAA D1
Northern Kentucky University,Highland Heights,Kentucky,Public,Horizon League,NCAA D1
Northwestern State University of Louisiana,Natchitoches,Louisiana,Public,Southland Conference,NCAA D1
Northwestern University,Evanston,Illinois,Private,Big Ten Conference,NCAA D1
Oakland University,Rochester Hills,Michigan,Public,Horizon League,NCAA D1
Ohio State University,Columbus,Ohio,Public,Big Ten Conference,NCAA D1
Ohio University,Athens,Ohio,Public,Mid-American Conference,NCAA D1
Oklahoma State University,Stillwater,Oklahoma,Public,Big 12 Conference,NCAA D1
Old Dominion University,Norfolk,Virginia,Public,Sun Belt Conference,NCAA D1
Oral Roberts University,Tulsa,Oklahoma,Private,The Summit League,NCAA D1
Oregon State University,Corvallis,Oregon,Public,West Coast Conference,NCAA D1
Penn State,University Park,Pennsylvania,Public,Big Ten Conference,NCAA D1
Pepperdine University,Malibu,California,Private,West Coast Conference,NCAA D1
Prairie View A & M University,Prairie View,Texas,Public,Southwestern Athletic Conference,NCAA D1
Presbyterian College,Clinton,South Carolina,Private,Big South Conference,NCAA D1
Princeton University,Princeton,New Jersey,Private,Ivy League,NCAA D1
Purdue University,West Lafayette,Indiana,Public,Big Ten Conference,NCAA D1
Purdue University – Fort Wayne,Fort Wayne,Indiana,Public,Horizon League,NCAA D1
Queens University of Charlotte,Charlotte,North Carolina,Private,Atlantic Sun Conference,NCAA D1
Quinnipiac University,Hamden,Connecticut,Private,Metro Atlantic Athletic Conference,NCAA D1
Radford University,Radford,Virginia,Public,Big South Conference,NCAA D1
Rice University,Houston,Texas,Private,American Athletic Conference,NCAA D1
